category,monthly_avg,total_12mo,n_transactions,pct_of_spend
Household,1491.8324999999995,17901.989999999994,247,17.942234431830595
Travel,1167.0908333333339,14005.090000000006,190,14.036574035561774
Dining-Restaurants,1015.6824999999998,12188.189999999997,362,12.215589567399679
Miscellaneous Expenses,839.3799999999998,10072.559999999998,100,10.095203541543682
Groceries,582.0724999999999,6984.869999999999,216,7.000572283632188
Electronics,466.04666666666554,5592.559999999987,116,5.605132311775301
Clothing-Shoes,394.68166666666656,4736.1799999999985,63,4.7468271332599015
Web-Internet,394.51083333333344,4734.130000000001,115,4.744772524773069
Telephone-Cellular,360.6233333333334,4327.4800000000005,27,4.337208358347776
Utilities,350.68833333333333,4208.26,19,4.217720346737734
Medical-Healthcare,341.4441666666665,4097.329999999998,49,4.1065409713988466
Entertainment,246.0891666666666,2953.0699999999993,150,2.9597086264491255
Insurance,162.15166666666656,1945.8199999999986,28,1.9501942857830104
Gasoline-Fuel,117.56083333333333,1410.73,44,1.4139013807971283
Fitness-Personal Care,82.34500000000001,988.1400000000001,20,0.9903613805766338
Home Improvement,71.32583333333334,855.91,22,0.8578341219355017
Automotive Maintenance,61.41583333333333,736.99,13,0.7386467847381679
Service Charges-Fees,46.88666666666666,562.64,11,0.5639048385528742
Recreation-Hobbies,32.97916666666668,395.7500000000001,20,0.3966396627635789
Charitable Donations,30.09166666666667,361.1,7,0.3619117680958391
Home Maintenance,19.166666666666668,230,4,0.23051704974257264
Taxes,18.083333333333332,217,1,0.2174878251919055
Education,13.766666666666666,165.2,4,0.1655713765977087
Cable-Satellite,5.915833333333334,70.99000000000001,2,0.07114958852706624
Office Supplies,2.81,33.72,1,0.03379580398834587
