symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
INDA,India,Country ETF,0.07333895359889127,0.21116929751607005,0.3472993207893309,-0.4506711952750754,NA,1,0.5,0.7,0.76,3.8,4,4,3.5,3.8,3.8,4,4,3.5,3.825,"Attractive, monitor closely"
VWO,Emerging markets,Benchmark,0.08433781583044057,0.19541016238049738,0.4315938066016253,-0.36392344533353704,NA,1,0.5,1,0.8500000000000001,3.5,3.3,4,4,4.25,3.5,3.3,4,4,3.7975000000000003,"Attractive, monitor closely"
EWJ,Japan,Country ETF,0.10107978978629811,0.17768638841339815,0.5688662518770422,-0.3314407294734171,NA,1,0.5,1,0.8500000000000001,3.2,3.5,4,3.5,4.25,3.2,3.5,4,3.5,3.6875,"Attractive, monitor closely"
VEA,Developed markets ex-U.S.,Benchmark,0.10035311402798586,0.17358602095051875,0.5781174859500456,-0.35735082890847036,NA,1,0.5,1,0.8500000000000001,2.8,2.5,4.2,4,4.25,2.8,2.5,4.2,4,3.4925,Watchlist or tactical
EWQ,France,Country ETF,0.09857337956886053,0.2060091510617338,0.4784902955078996,-0.3922936735699437,NA,1,0.5,1,0.8500000000000001,2.8,2.5,3.8,3.5,4.25,2.8,2.5,3.8,3.5,3.3575,Watchlist or tactical
EWL,Switzerland,Country ETF,0.09096036713497238,0.16319102987440565,0.5573858269353217,-0.289938483685814,NA,1,0.5,1,0.8500000000000001,2.8,2.5,3.8,3.5,4.25,2.8,2.5,3.8,3.5,3.3575,Watchlist or tactical
EWU,United Kingdom,Country ETF,0.08046690893653272,0.18797727357082544,0.42806722008453146,-0.4333045073115608,NA,1,0.5,0.7,0.76,2.8,2.8,3.8,3.5,3.8,2.8,2.8,3.8,3.5,3.3049999999999997,Watchlist or tactical
EWG,Germany,Country ETF,0.08412794555684557,0.20938321693693768,0.40178934485557805,-0.46800911506251575,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical
EWS,Singapore,Country ETF,0.0783456292887511,0.18031589471122003,0.43449097714998114,-0.4083788507734838,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical
EWH,Hong Kong,Country ETF,0.06124128884879618,0.19617360289904717,0.31217904928988605,-0.42711884985388804,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical
KSA,Saudi Arabia,Country ETF,0.07746273403891317,0.20156398602576855,0.38430840531705945,-0.4056135106450649,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical
QAT,Qatar,Country ETF,0.028360454619110548,0.18283195557497223,0.15511760255433593,-0.4028878513629407,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical
THD,Thailand,Country ETF,0.047899043449137285,0.21499275323503977,0.22279375806110027,-0.4931786565710369,NA,1,0.5,0.7,0.76,2.8,2.5,3.8,3.5,3.8,2.8,2.5,3.8,3.5,3.2449999999999997,Watchlist or tactical
