symbol,theme,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
GRID,Electric grid infrastructure,Infrastructure,0.17862672168503968,0.23720273485005156,0.7530550682645338,-0.4056158543137195,0.23410472117783412,0.4,0.3,0.7,0.45999999999999996,4,3.8,4,3.5,2.3,4,3.8,4,3.5,3.46,Watchlist or tactical
URA,Uranium and nuclear fuel,Commodity theme,0.15248439979610573,0.37070806568743375,0.41133283548428234,-0.6658094176526141,0.05556561026792027,0.4,0.3,0.2,0.31,4.2,4,4,3.5,1.55,4.2,4,4,3.5,3.3625,Watchlist or tactical
FAN,Wind energy,Energy transition,0.11299899244915979,0.20965497937061606,0.5389759536758086,-0.46287845655542104,0.030433097499065732,0.5,0.3,0.7,0.5,3.5,3,4,3.5,2.5,3.5,3,4,3.5,3.225,Watchlist or tactical
ITA,U.S. aerospace and defense benchmark,U.S. sector benchmark,0.14892161560974274,0.2241166439507844,0.6644826238003352,-0.5099665986487558,0.2794311562891382,0.4,0.3,0.4,0.37,3.7,3.5,4,3.5,1.85,3.7,3.5,4,3.5,3.2125000000000004,Watchlist or tactical
WOOD,Global timber and forestry,Commodity theme,0.06585968923679066,0.21267218046109101,0.30967703013154496,-0.502016745966509,0.09158370567277392,1,0.3,0.4,0.61,2.8,3,4,3.5,3.05,2.8,3,4,3.5,3.1875,Watchlist or tactical
COPX,Copper miners,Commodity theme,0.2037313480624794,0.3700176139806753,0.5505990535713242,-0.6540647642973804,0.11310924093570722,0.4,0.3,0.2,0.31,3.8,3.6,4,3.5,1.55,3.8,3.6,4,3.5,3.1825,Watchlist or tactical
XLI,U.S. industrials benchmark,U.S. sector benchmark,0.13098481940427079,0.1950869998719432,0.6714174675414064,-0.42334087149107424,0.2197543577602315,0.5,0.3,0.7,0.5,2.8,3,4,3.5,2.5,2.8,3,4,3.5,3.0500000000000003,Watchlist or tactical
XLF,U.S. financials benchmark,U.S. sector benchmark,0.1295361133008449,0.21568693754628823,0.6005746790903616,-0.4286252287894978,0.07226890953571934,0.5,0.3,0.7,0.5,2.8,3,4,3.5,2.5,2.8,3,4,3.5,3.0500000000000003,Watchlist or tactical
PAVE,U.S. infrastructure benchmark,U.S. theme benchmark,0.17066383792982728,0.24278805650935134,0.7029334160152723,-0.4408481811826612,0.06862314393155099,0.4,0.3,0.7,0.45999999999999996,2.8,3,4,3.5,2.3,2.8,3,4,3.5,3,Watchlist or tactical
TAN,Solar energy,Energy transition,0.1079818395133881,0.38012537094020493,0.2840690145104101,-0.785279981829567,0.060387846263054504,0.4,0.3,0.2,0.31,3.5,3,4,3.5,1.55,3.5,3,4,3.5,2.9875000000000003,Watchlist or tactical
PICK,Global metals and mining,Commodity theme,0.14501481240497224,0.2922959061819049,0.4961233097624193,-0.5399164312876814,0.07979314960659745,0.4,0.3,0.4,0.37,2.8,3,4,3.5,1.85,2.8,3,4,3.5,2.8875,Watchlist or tactical
XLE,U.S. energy benchmark,U.S. sector benchmark,0.12010911783769809,0.2904398232212938,0.4135421806333485,-0.6681303871947242,0.08074983721328075,0.4,0.3,0.2,0.31,2.8,3,4,3.5,1.55,2.8,3,4,3.5,2.8125,Watchlist or tactical
DFEN,U.S. aerospace and defense leveraged proxy,High-risk proxy,0.5052418285237944,0.9581153331672845,0.5273288204809269,-0.91362535712287,0.06968325989124616,0.4,0.3,0.2,0.31,2.8,3,4,3.5,1.55,2.8,3,4,3.5,2.8125,Watchlist or tactical
