symbol,theme,category,expense_ratio_pct,tilt_cap_min_pct,tilt_cap_max_pct,tilt_cap_notes,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket
GRID,Electric grid infrastructure,Infrastructure,0.56,3,4,"Verified 2026-09-23. Finalized at 4% (top of 3-4% band) in Phase 2 allocation table; ~128-146 holdings, top-10 ~55-60%, non-diversified, ~60% Industrials, ~39% US/~61% ex-US. Treat as concentrated single-theme equity risk, not a bond/income substitute.",0.1786267329201382,0.23720269435218355,0.7530552441993956,-0.4056159869680397,NA,0.4,0.5,0.7,0.52,4,3.8,4,3.5,2.6,4,3.8,4,3.5,3.535,"Attractive, monitor closely"
URA,Uranium and nuclear fuel,Commodity theme,NA,NA,NA,NA,0.15248439783995396,0.37070809069296684,0.41133280246167264,-0.6658094641868508,NA,0.4,0.5,0.2,0.37000000000000005,4.2,4,4,3.5,1.8500000000000003,4.2,4,4,3.5,3.4375,Watchlist or tactical
FAN,Wind energy,Energy transition,NA,NA,NA,NA,0.11299892672894415,0.20965495032937034,0.5389757148658858,-0.4628782886036438,NA,0.5,0.5,0.7,0.5599999999999999,3.5,3,4,3.5,2.8,3.5,3,4,3.5,3.3,Watchlist or tactical
ITA,U.S. aerospace and defense benchmark,U.S. sector benchmark,NA,NA,NA,NA,0.14892160743573438,0.2241166667690478,0.6644825196744429,-0.5099665979758952,NA,0.4,0.5,0.4,0.43000000000000005,3.7,3.5,4,3.5,2.1500000000000004,3.7,3.5,4,3.5,3.2875,Watchlist or tactical
WOOD,Global timber and forestry,Commodity theme,NA,NA,NA,NA,0.06585970459417105,0.21267218235515478,0.30967709958506817,-0.5020168528930595,NA,1,0.5,0.4,0.67,2.8,3,4,3.5,3.35,2.8,3,4,3.5,3.2625,Watchlist or tactical
COPX,Copper miners,Commodity theme,NA,NA,NA,NA,0.2037313542356849,0.37001758137472623,0.5505991187736589,-0.6540648153657009,NA,0.4,0.5,0.2,0.37000000000000005,3.8,3.6,4,3.5,1.8500000000000003,3.8,3.6,4,3.5,3.2575000000000003,Watchlist or tactical
XLI,U.S. industrials benchmark,U.S. sector benchmark,NA,NA,NA,NA,0.1309847997928147,0.19508701271726964,0.6714173228058228,-0.4233409211844761,NA,0.5,0.5,0.7,0.5599999999999999,2.8,3,4,3.5,2.8,2.8,3,4,3.5,3.125,Watchlist or tactical
XLF,U.S. financials benchmark,U.S. sector benchmark,NA,NA,NA,NA,0.12953614467945043,0.2156870871494553,0.6005744080065925,-0.4286253970581083,NA,0.5,0.5,0.7,0.5599999999999999,2.8,3,4,3.5,2.8,2.8,3,4,3.5,3.125,Watchlist or tactical
PAVE,U.S. infrastructure benchmark,U.S. theme benchmark,0.47,NA,NA,"Verified 2026-09-23 for comparison only; not held. 100% U.S., ~102 holdings, top-10 ~31.7% -- broad U.S. capex, not the electrification/grid thesis GRID targets.",0.1706638589535873,0.24278807999397167,0.7029334346143551,-0.44084823672636086,NA,0.4,0.5,0.7,0.52,2.8,3,4,3.5,2.6,2.8,3,4,3.5,3.075,Watchlist or tactical
TAN,Solar energy,Energy transition,NA,NA,NA,NA,0.10798184735660481,0.3801253784997098,0.28406902949440205,-0.7852799818295664,NA,0.4,0.5,0.2,0.37000000000000005,3.5,3,4,3.5,1.8500000000000003,3.5,3,4,3.5,3.0625000000000004,Watchlist or tactical
PICK,Global metals and mining,Commodity theme,NA,NA,NA,NA,0.14501480685670784,0.29229591853039927,0.49612326982125154,-0.5399162474989687,NA,0.4,0.5,0.4,0.43000000000000005,2.8,3,4,3.5,2.1500000000000004,2.8,3,4,3.5,2.9625000000000004,Watchlist or tactical
XLE,U.S. energy benchmark,U.S. sector benchmark,NA,NA,NA,NA,0.1201091151530711,0.2904398423439007,0.41354214416234836,-0.6681303181292324,NA,0.4,0.5,0.2,0.37000000000000005,2.8,3,4,3.5,1.8500000000000003,2.8,3,4,3.5,2.8875,Watchlist or tactical
DFEN,U.S. aerospace and defense leveraged proxy,High-risk proxy,NA,NA,NA,NA,0.5052418203819052,0.9581154244974177,0.5273287617167121,-0.9136253361320693,NA,0.4,0.5,0.2,0.37000000000000005,2.8,3,4,3.5,1.8500000000000003,2.8,3,4,3.5,2.8875,Watchlist or tactical
