symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket,screen_type,indicator_modifier,adjusted_score,adjusted_conviction
INDA,India,Country ETF,0.07333896320873881,0.2111693736020617,0.3472992411624163,-0.4506711401628498,0.06270200387847447,1,0.3,0.7,0.7,3.8,4,4,3.5,3.5,3.8,4,4,3.5,3.75,"Attractive, monitor closely",country,0,3.75,Attractive
VWO,Emerging markets,Benchmark,0.0843377769812104,0.19541002609958777,0.43159390879068266,-0.3639235192910977,0.07904330884246727,1,0.3,1,0.79,3.5,3.3,4,4,3.95,3.5,3.3,4,4,3.7225,"Attractive, monitor closely",country,0,3.72,Attractive
EWJ,Japan,Country ETF,0.10107978147765737,0.17768628849671758,0.5688665250021507,-0.33144067151172285,0.1266451184026796,1,0.3,1,0.79,3.2,3.5,4,3.5,3.95,3.2,3.5,4,3.5,3.6125,"Attractive, monitor closely",country,0,3.61,Attractive
GRID,Electric grid infrastructure,Infrastructure,0.17862672168503968,0.23720273485005156,0.7530550682645338,-0.4056158543137195,0.23410472117783412,0.4,0.3,0.7,0.46,4,3.8,4,3.5,2.3,4,3.8,4,3.5,3.46,Watchlist or tactical,theme,0,3.46,Watchlist
VEA,Developed markets ex-U.S.,Benchmark,0.10035312852820882,0.17358613977829257,0.5781171737350788,-0.3573509686662164,0.09347123859309348,1,0.3,1,0.79,2.8,2.5,4.2,4,3.95,2.8,2.5,4.2,4,3.4175,Watchlist or tactical,country,0,3.42,Watchlist
URA,Uranium and nuclear fuel,Commodity theme,0.15248439979610573,0.37070806568743375,0.41133283548428234,-0.6658094176526141,0.05556561026792027,0.4,0.3,0.2,0.31,4.2,4,4,3.5,1.55,4.2,4,4,3.5,3.3625,Watchlist or tactical,theme,0,3.36,Watchlist
EWQ,France,Country ETF,0.09857337539892937,0.20600908759468017,0.4784904226791733,-0.39229370105351447,0.05716871521745717,1,0.3,1,0.79,2.8,2.5,3.8,3.5,3.95,2.8,2.5,3.8,3.5,3.2825,Watchlist or tactical,country,0,3.28,Watchlist
EWL,Switzerland,Country ETF,0.09096037650356256,0.1631910041255315,0.5573859722904398,-0.2899386758298297,0.07861667921563156,1,0.3,1,0.79,2.8,2.5,3.8,3.5,3.95,2.8,2.5,3.8,3.5,3.2825,Watchlist or tactical,country,0,3.28,Watchlist
EWU,United Kingdom,Country ETF,0.08046694158892292,0.18797730073177113,0.4280673319367584,-0.43330473524839175,0.06165481399703812,1,0.3,0.7,0.7,2.8,2.8,3.8,3.5,3.5,2.8,2.8,3.8,3.5,3.2299999999999995,Watchlist or tactical,country,0,3.23,Watchlist
FAN,Wind energy,Energy transition,0.1129989924491598,0.20965497937061608,0.5389759536758086,-0.46287845655542104,0.03043309749906573,0.5,0.3,0.7,0.5,3.5,3,4,3.5,2.5,3.5,3,4,3.5,3.225,Watchlist or tactical,theme,0,3.22,Watchlist
ITA,U.S. aerospace and defense benchmark,U.S. sector benchmark,0.14892161560974274,0.2241166439507844,0.6644826238003352,-0.5099665986487558,0.2794311562891382,0.4,0.3,0.4,0.37,3.7,3.5,4,3.5,1.85,3.7,3.5,4,3.5,3.2125000000000004,Watchlist or tactical,theme,0,3.21,Watchlist
WOOD,Global timber and forestry,Commodity theme,0.06585968923679066,0.212672180461091,0.30967703013154496,-0.502016745966509,0.09158370567277392,1,0.3,0.4,0.61,2.8,3,4,3.5,3.05,2.8,3,4,3.5,3.1875,Watchlist or tactical,theme,0,3.19,Watchlist
COPX,Copper miners,Commodity theme,0.2037313480624794,0.3700176139806753,0.5505990535713242,-0.6540647642973804,0.11310924093570722,0.4,0.3,0.2,0.31,3.8,3.6,4,3.5,1.55,3.8,3.6,4,3.5,3.1825,Watchlist or tactical,theme,0,3.18,Watchlist
EWG,Germany,Country ETF,0.08412793173367565,0.2093831869383913,0.4017893364018256,-0.4680092543193095,0.05507433545458447,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical,country,0,3.17,Watchlist
EWS,Singapore,Country ETF,0.07834562151493579,0.180315965442198,0.43449076360379313,-0.4083790063104192,0.04287007090809581,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical,country,0,3.17,Watchlist
EWH,Hong Kong,Country ETF,0.06124130965695027,0.196173587555804,0.31217917977632653,-0.42711884985388826,0.02942469325000884,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical,country,0,3.17,Watchlist
KSA,Saudi Arabia,Country ETF,0.07746273664584467,0.201564001458472,0.3843083888260883,-0.40561357463434344,0.04804137019704216,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical,country,0,3.17,Watchlist
QAT,Qatar,Country ETF,0.028360453912697,0.1828319240544493,0.15511762543313254,-0.4028877550001488,0.02182288191437182,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical,country,0,3.17,Watchlist
THD,Thailand,Country ETF,0.04789905126001475,0.21499281901444744,0.22279372622578597,-0.4931788494217174,0.095009693424395,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical,country,0,3.17,Watchlist
EWM,Malaysia,Country ETF,0.02368090833829146,0.1734395474936226,0.1365369587300279,-0.4424805494722088,0.03575953438579458,1,0.3,0.7,0.7,2.8,2.5,3.8,3.5,3.5,2.8,2.5,3.8,3.5,3.17,Watchlist or tactical,country,0,3.17,Watchlist
