symbol,country_or_region,category,annualized_return,annualized_volatility,sharpe_proxy,max_drawdown,relative_strength_to_spy,value_signal,momentum_signal,risk_score,valuation_composite,macro_tailwind,catalyst_strength,implementation_quality,risk_control,valuation_score,macro_score,catalyst_score,impl_score,risk_score_adj,weighted_score,conviction_bucket,screen_type,expense_ratio_pct,tilt_cap_min_pct,tilt_cap_max_pct,tilt_cap_notes,indicator_modifier,adjusted_score,adjusted_conviction
INDA,India,Country ETF,0.07333895359889127,0.21116929751607005,0.3472993207893309,-0.4506711952750754,NA,1,0.5,0.7,0.76,3.8,4,4,3.5,3.8,3.8,4,4,3.5,3.825,"Attractive, monitor closely",country,NA,NA,NA,NA,0,3.83,Attractive
VWO,Emerging markets,Benchmark,0.08433781583044057,0.19541016238049735,0.4315938066016253,-0.36392344533353704,NA,1,0.5,1,0.8500000000000001,3.5,3.3,4,4,4.25,3.5,3.3,4,4,3.7975,"Attractive, monitor closely",country,NA,NA,NA,NA,0,3.8,Attractive
EWJ,Japan,Country ETF,0.10107978978629811,0.17768638841339815,0.5688662518770422,-0.3314407294734171,NA,1,0.5,1,0.8500000000000001,3.2,3.5,4,3.5,4.25,3.2,3.5,4,3.5,3.6875,"Attractive, monitor closely",country,NA,NA,NA,NA,0,3.69,Attractive
GRID,Electric grid infrastructure,Infrastructure,0.1786267329201382,0.23720269435218355,0.7530552441993956,-0.4056159869680397,NA,0.4,0.5,0.7,0.52,4,3.8,4,3.5,2.6,4,3.8,4,3.5,3.535,"Attractive, monitor closely",theme,0.56,3,4,"Verified 2026-09-23. Finalized at 4% (top of 3-4% band) in Phase 2 allocation table; ~128-146 holdings, top-10 ~55-60%, non-diversified, ~60% Industrials, ~39% US/~61% ex-US. Treat as concentrated single-theme equity risk, not a bond/income substitute.",0,3.54,Attractive
VEA,Developed markets ex-U.S.,Benchmark,0.10035311402798586,0.17358602095051875,0.5781174859500456,-0.35735082890847036,NA,1,0.5,1,0.8500000000000001,2.8,2.5,4.2,4,4.25,2.8,2.5,4.2,4,3.4925,Watchlist or tactical,country,NA,NA,NA,NA,0,3.49,Watchlist
URA,Uranium and nuclear fuel,Commodity theme,0.15248439783995396,0.3707080906929669,0.41133280246167264,-0.6658094641868508,NA,0.4,0.5,0.2,0.3700000000000001,4.2,4,4,3.5,1.8500000000000003,4.2,4,4,3.5,3.4375,Watchlist or tactical,theme,NA,NA,NA,NA,0,3.44,Watchlist
EWQ,France,Country ETF,0.09857337956886052,0.2060091510617338,0.4784902955078996,-0.3922936735699437,NA,1,0.5,1,0.8500000000000001,2.8,2.5,3.8,3.5,4.25,2.8,2.5,3.8,3.5,3.3575,Watchlist or tactical,country,NA,NA,NA,NA,0,3.36,Watchlist
EWL,Switzerland,Country ETF,0.09096036713497238,0.16319102987440565,0.5573858269353217,-0.289938483685814,NA,1,0.5,1,0.8500000000000001,2.8,2.5,3.8,3.5,4.25,2.8,2.5,3.8,3.5,3.3575,Watchlist or tactical,country,NA,NA,NA,NA,0,3.36,Watchlist
EWU,United Kingdom,Country ETF,0.08046690893653272,0.18797727357082544,0.42806722008453146,-0.4333045073115608,NA,1,0.5,0.7,0.76,2.8,2.8,3.8,3.5,3.8,2.8,2.8,3.8,3.5,3.3049999999999997,Watchlist or tactical,country,NA,NA,NA,NA,0,3.3,Watchlist
FAN,Wind energy,Energy transition,0.11299892672894415,0.20965495032937032,0.5389757148658858,-0.4628782886036438,NA,0.5,0.5,0.7,0.5599999999999999,3.5,3,4,3.5,2.8,3.5,3,4,3.5,3.3,Watchlist or tactical,theme,NA,NA,NA,NA,0,3.3,Watchlist
